question_text,topic,difficulty
What is the Pythagorean Theorem?,Geometry,Easy
Solve for x: 2x + 5 = 13,Algebra I,Medium
Factor the expression: x^2 - 9,Algebra I,Medium
Simplify: (3x^2)(2x^3),Exponents,Medium
What is the slope of the line y = 3x + 2?,Linear Equations,Easy
Solve the inequality: 5x - 7 > 8,Inequalities,Medium
Graph the function y = -x + 4,Graphing,Medium
What does it mean for lines to be parallel?,Geometry,Easy
Find the area of a triangle with base 10 and height 5,Geometry,Easy
"If f(x) = x^2 + 2x, find f(3)",Functions,Easy
What is the value of x in 3(x - 2) = 12?,Algebra I,Medium
What is a variable in algebra?,Foundations,Easy
Combine like terms: 2x + 3x - 4,Expressions,Easy
Evaluate the expression: 2(3 + 4) - 5,Order of Operations,Easy
Write an equation for: the sum of a number and 7 is 12,Word Problems,Medium
"If the perimeter of a square is 20, what is the side length?",Geometry,Easy
Solve: x/4 = 5,Equations,Easy
Simplify: (2x + 3) - (x - 2),Expressions,Medium
What is the distributive property?,Properties,Easy
"Find the missing value: 3, 6, __, 12 (arithmetic sequence)",Patterns,Medium
